SWISS FEDERAL OBSERVATORY SUNSPOT NUMBERS 1700-1987                    
1700    5.0D0
1701   11.0D0
1702   16.0D0
1703   23.0D0
1704   36.0D0
1705   58.0D0
1706   29.0D0
1707   20.0D0
1708   10.0D0
1709    8.0D0
1710    3.0D0
1711    0.0D0
1712    0.0D0
1713    2.0D0
1714   11.0D0
1715   27.0D0
1716   47.0D0
1717   63.0D0
1718   60.0D0
1719   39.0D0
1720   28.0D0
1721   26.0D0
1722   22.0D0
1723   11.0D0
1724   21.0D0
1725   40.0D0
1726   78.0D0
1727  122.0D0
1728  103.0D0
1729   73.0D0
1730   47.0D0
1731   35.0D0
1732   11.0D0
1733    5.0D0
1734   16.0D0
1735   34.0D0
1736   70.0D0
1737   81.0D0
1738  111.0D0
1739  101.0D0
1740   73.0D0
1741   40.0D0
1742   20.0D0
1743   16.0D0
1744    5.0D0
1745   11.0D0
1746   22.0D0
1747   40.0D0
1748   60.0D0
1749   80.9D0
1750   83.4D0
1751   47.7D0
1752   47.8D0
1753   30.7D0
1754   12.2D0
1755    9.6D0
1756   10.2D0
1757   32.4D0
1758   47.6D0
1759   54.0D0
1760   62.9D0
1761   85.9D0
1762   61.2D0
1763   45.1D0
1764   36.4D0
1765   20.9D0
1766   11.4D0
1767   37.8D0
1768   69.8D0
1769  106.1D0
1770  100.8D0
1771   81.6D0
1772   66.5D0
1773   34.8D0
1774   30.6D0
1775    7.0D0
1776   19.8D0
1777   92.5D0
1778  154.4D0
1779  125.9D0
1780   84.8D0
1781   68.1D0
1782   38.5D0
1783   22.8D0
1784   10.2D0
1785   24.1D0
1786   82.9D0
1787  132.0D0
1788  130.9D0
1789  118.1D0
1790   89.9D0
1791   66.6D0
1792   60.0D0
1793   46.9D0
1794   41.0D0
1795   21.3D0
1796   16.0D0
1797    6.4D0
1798    4.1D0
1799    6.8D0
1800   14.5D0
1801   34.0D0
1802   45.0D0
1803   43.1D0
1804   47.5D0
1805   42.2D0
1806   28.1D0
1807   10.1D0
1808    8.1D0
1809    2.5D0
1810    0.0D0
1811    1.4D0
1812    5.0D0
1813   12.2D0
1814   13.9D0
1815   35.4D0
1816   45.8D0
1817   41.1D0
1818   30.1D0
1819   23.9D0
1820   15.6D0
1821    6.6D0
1822    4.0D0
1823    1.8D0
1824    8.5D0
1825   16.6D0
1826   36.3D0
1827   49.6D0
1828   64.2D0
1829   67.0D0
1830   70.9D0
1831   47.8D0
1832   27.5D0
1833    8.5D0
1834   13.2D0
1835   56.9D0
1836  121.5D0
1837  138.3D0
1838  103.2D0
1839   85.7D0
1840   64.6D0
1841   36.7D0
1842   24.2D0
1843   10.7D0
1844   15.0D0
1845   40.1D0
1846   61.5D0
1847   98.5D0
1848  124.7D0
1849   96.3D0
1850   66.6D0
1851   64.5D0
1852   54.1D0
1853   39.0D0
1854   20.6D0
1855    6.7D0
1856    4.3D0
1857   22.7D0
1858   54.8D0
1859   93.8D0
1860   95.8D0
1861   77.2D0
1862   59.1D0
1863   44.0D0
1864   47.0D0
1865   30.5D0
1866   16.3D0
1867    7.3D0
1868   37.6D0
1869   74.0D0
1870  139.0D0
1871  111.2D0
1872  101.6D0
1873   66.2D0
1874   44.7D0
1875   17.0D0
1876   11.3D0
1877   12.4D0
1878    3.4D0
1879    6.0D0
1880   32.3D0
1881   54.3D0
1882   59.7D0
1883   63.7D0
1884   63.5D0
1885   52.2D0
1886   25.4D0
1887   13.1D0
1888    6.8D0
1889    6.3D0
1890    7.1D0
1891   35.6D0
1892   73.0D0
1893   85.1D0
1894   78.0D0
1895   64.0D0
1896   41.8D0
1897   26.2D0
1898   26.7D0
1899   12.1D0
1900    9.5D0
1901    2.7D0
1902    5.0D0
1903   24.4D0
1904   42.0D0
1905   63.5D0
1906   53.8D0
1907   62.0D0
1908   48.5D0
1909   43.9D0
1910   18.6D0
1911    5.7D0
1912    3.6D0
1913    1.4D0
1914    9.6D0
1915   47.4D0
1916   57.1D0
1917  103.9D0
1918   80.6D0
1919   63.6D0
1920   37.6D0
1921   26.1D0
1922   14.2D0
1923    5.8D0
1924   16.7D0
1925   44.3D0
1926   63.9D0
1927   69.0D0
1928   77.8D0
1929   64.9D0
1930   35.7D0
1931   21.2D0
1932   11.1D0
1933    5.7D0
1934    8.7D0
1935   36.1D0
1936   79.7D0
1937  114.4D0
1938  109.6D0
1939   88.8D0
1940   67.8D0
1941   47.5D0
1942   30.6D0
1943   16.3D0
1944    9.6D0
1945   33.2D0
1946   92.6D0
1947  151.6D0
1948  136.3D0
1949  134.7D0
1950   83.9D0
1951   69.4D0
1952   31.5D0
1953   13.9D0
1954    4.4D0
1955   38.0D0
1956  141.7D0
1957  190.2D0
1958  184.8D0
1959  159.0D0
1960  112.3D0
1961   53.9D0
1962   37.5D0
1963   27.9D0
1964   10.2D0
1965   15.1D0
1966   47.0D0
1967   93.8D0
1968  105.9D0
1969  105.5D0
1970  104.5D0
1971   66.6D0
1972   68.9D0
1973   38.0D0
1974   34.5D0
1975   15.5D0
1976   12.6D0
1977   27.5D0
1978   92.5D0
1979  155.4D0
1980  154.6D0
1981  140.4D0
1982  115.9D0
1983   66.6D0
1984   45.9D0
1985   17.9D0
1986   13.4D0
1987   29.3D0
