 3 September 2012  10:30:50.006 AM      
 
RANDOM_OPENMP
  FORTRAN77 version
  An OpenMP program using random numbers.
  The random numbers depend on a seed.
  We need to insure that each OpenMP thread
  starts with a different seed.
 
  Number of processors available =        8
  Number of threads =                     8
 
  Thread   Seed  I   X(I)
 
       1     123456790
       0     123456789
       7     123456796
       6     123456795
       2     123456791
       5     123456794
       4     123456793
       3     123456792
       1         32142      14    0.490448    
       0         29017       1    0.442764    
       7         50892      92    0.776550    
       6         47767      79    0.728867    
       2         35267      27    0.538132    
       5         44642      66    0.681183    
       4         41517      53    0.633499    
       3         38392      40    0.585815    
       1         42598      15    0.649994    
       0         41837       2    0.638382    
       7         47164      93    0.719666    
       6         46403      80    0.708054    
       2         43359      28    0.661606    
       5         45642      67    0.696442    
       4         44881      54    0.684830    
       3         44120      41    0.673218    
       1         15134      16    0.230927    
       0         61841       3    0.943619    
       7         62572      94    0.954773    
       6         43743      81    0.667465    
       2         33963      29    0.518234    
       5         24914      68    0.380157    
       4          6085      55    0.928497E-01
       3         52792      42    0.805542    
       1         42294      17    0.645355    
       0         52997       4    0.808670    
       7         43612      95    0.665466    
       6         54315      82    0.828781    
       2         31591      30    0.482040    
       5         65018      69    0.992096    
       4         10185      56    0.155411    
       3         20888      43    0.318726    
       1         48174      18    0.735077    
       0          6153       5    0.938873E-01
       7         38156      96    0.582214    
       6         61671      83    0.941025    
       2         24659      31    0.376266    
       5         19650      70    0.299835    
       4         43165      57    0.658646    
       3          1144      44    0.174561E-01
       1          7558      19    0.115326    
       0         26077       6    0.397903    
       7         27516      97    0.419861    
       6         46035      84    0.702438    
       2         54575      32    0.832748    
       5         64554      71    0.985016    
       4         17537      58    0.267593    
       3         36056      45    0.550171    
       1         25790      20    0.393524    
       0         29377       7    0.448257    
       7          4268      98    0.651245E-01
       6          7855      85    0.119858    
       2         22203      33    0.338791    
       5         11442      72    0.174591    
       4         15029      59    0.229324    
       3         18616      46    0.284058    
       1         50006      21    0.763031    
       0         52725       8    0.804520    
       7         33692      99    0.514099    
       6         36411      86    0.555588    
       2         47287      34    0.721542    
       5         39130      73    0.597076    
       4         41849      60    0.638565    
       3         44568      47    0.680054    
       1         30926      22    0.471893    
       0          8121       9    0.123917    
       7         36684     100    0.559753    
       6         13879      87    0.211777    
       2         53731      35    0.819870    
       5         56610      74    0.863800    
       4         33805      61    0.515823    
       3         11000      48    0.167847    
       1         43686      23    0.666595    
       0         15693      10    0.239456    
       6         52579      88    0.802292    
       2          6143      36    0.937347E-01
       5         24586      75    0.375153    
       4         62129      62    0.948013    
       3         34136      49    0.520874    
       1          7262      24    0.110809    
       0         19697      11    0.300552    
       6         10623      89    0.162094    
       2         60363      37    0.921066    
       5         23058      76    0.351837    
       4         35493      63    0.541580    
       3         47928      50    0.731323    
       1         18294      25    0.279144    
       0         14821      12    0.226151    
       6         35659      90    0.544113    
       2         21767      38    0.332138    
       5         32186      77    0.491119    
       4         28713      64    0.438126    
       3         25240      51    0.385132    
       1         21358      26    0.325897    
       0         47209      13    0.720352    
       6         23175      91    0.353622    
       2         61043      39    0.931442    
       5         49026      78    0.748077    
       4          9341      65    0.142532    
       3         35192      52    0.536987    
 
RANDOM_OPENMP
  Normal end of execution.
 
 3 September 2012  10:30:50.008 AM      
