 
SCHEDULE_OPEN_MP
  FORTRAN77/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular
  for two threads.  Demonstrate default,
  static and dynamic scheduling.
 
  Number of processors available =        8
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.276295E-03  0.563622E-04  0.426029E-04
         2         1  0.979179E-04  0.361088E-04  0.540582E-04
         4         2  0.358988E-04  0.343621E-04  0.361791E-04
         8         4  0.347118E-04  0.933791E-04  0.354103E-04
        16         6  0.485396E-04  0.346410E-04  0.391109E-04
        32        11  0.362480E-04  0.358988E-04  0.350610E-04
        64        18  0.384832E-04  0.338033E-04  0.334540E-04
       128        31  0.961730E-04  0.375747E-04  0.453270E-04
       256        54  0.692140E-04  0.579692E-04  0.361786E-04
       512        97  0.154630E-03  0.128300E-03  0.122922E-03
      1024       172  0.450133E-03  0.326791E-03  0.343134E-03
      2048       309  0.152416E-02  0.113836E-02  0.108129E-02
      4096       564  0.551257E-02  0.399176E-02  0.384390E-02
      8192      1028  0.198185E-01  0.138841E-01  0.137413E-01
     16384      1900  0.501146E-01  0.324787E-01  0.321562E-01
     32768      3512  0.172655      0.132743      0.124230    
     65536      6542  0.665732      0.467298      0.447870    
    131072     12251   2.51808       1.71802       1.70257    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
