 
SCHEDULE_OPEN_MP
  FORTRAN77/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular
  for two threads.  Demonstrate default,
  static and dynamic scheduling.
 
  Number of processors available =        8
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.164986E-03  0.309944E-05  0.596046E-05
         2         1  0.905991E-05  0.190735E-05  0.171661E-04
         4         2  0.309944E-05  0.190735E-05  0.190735E-05
         8         4  0.309944E-05  0.286102E-05  0.309944E-05
        16         6  0.309944E-05  0.309944E-05  0.286102E-05
        32        11  0.286102E-05  0.309944E-05  0.309944E-05
        64        18  0.500679E-05  0.596046E-05  0.500679E-05
       128        31  0.119209E-04  0.100136E-04  0.977516E-05
       256        54  0.929832E-04  0.259876E-04  0.269413E-04
       512        97  0.120163E-03  0.929832E-04  0.891685E-04
      1024       172  0.421047E-03  0.293016E-03  0.302076E-03
      2048       309  0.147009E-02  0.108385E-02  0.102878E-02
      4096       564  0.344396E-02  0.247812E-02  0.240088E-02
      8192      1028  0.124760E-01  0.871897E-02  0.929618E-02
     16384      1900  0.644550E-01  0.323730E-01  0.324831E-01
     32768      3512  0.177278      0.121840      0.120094    
     65536      6542  0.664606      0.456390      0.447663    
    131072     12251   2.51555       1.71772       1.68356    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
