 
SCHEDULE_OPEN_MP
  FORTRAN77/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular
  for two threads.  Demonstrate default,
  static and dynamic scheduling.
 
  Number of processors available =        2
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.440836E-03  0.101089E-03  0.158072E-03
         2         1  0.177145E-03  0.104904E-03  0.115156E-03
         4         2  0.149012E-03  0.137091E-03  0.135899E-03
         8         4  0.136137E-03  0.136852E-03  0.135183E-03
        16         6  0.137806E-03  0.137091E-03  0.137091E-03
        32        11  0.138044E-03  0.140905E-03  0.135899E-03
        64        18  0.142097E-03  0.150919E-03  0.133038E-03
       128        31  0.154018E-03  0.167131E-03  0.151873E-03
       256        54  0.236034E-03  0.216007E-03  0.236988E-03
       512        97  0.538111E-03  0.460863E-03  0.539064E-03
      1024       172  0.158811E-02  0.131798E-02  0.120902E-02
      2048       309  0.540304E-02  0.401211E-02  0.651693E-02
      4096       564  0.274060E-01  0.153480E-01  0.142641E-01
      8192      1028  0.765970E-01  0.591071E-01  0.538590E-01
     16384      1900  0.289272      0.207216      0.200443    
     32768      3512   1.08210      0.826676      0.783479    
     65536      6542   3.97169       2.97334       2.98356    
    131072     12251   15.0512       11.3651       12.0012    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
