 
SCHEDULE_OPEN_MP
  FORTRAN77/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular
  for two threads.  Demonstrate default,
  static and dynamic scheduling.
 
  Number of processors available =       16
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.166893E-03  0.500679E-05  0.715256E-05
         2         1  0.109673E-04  0.405312E-05  0.140667E-04
         4         2  0.405312E-05  0.405312E-05  0.405312E-05
         8         4  0.405312E-05  0.500679E-05  0.405312E-05
        16         6  0.405312E-05  0.405312E-05  0.500679E-05
        32        11  0.405312E-05  0.500679E-05  0.500679E-05
        64        18  0.498295E-04  0.691414E-05  0.810623E-05
       128        31  0.140667E-04  0.119209E-04  0.121593E-04
       256        54  0.789165E-04  0.269413E-04  0.290871E-04
       512        97  0.120878E-03  0.948906E-04  0.920296E-04
      1024       172  0.430107E-03  0.294924E-03  0.305176E-03
      2048       309  0.147104E-02  0.108600E-02  0.104690E-02
      4096       564  0.546193E-02  0.389695E-02  0.378394E-02
      8192      1028  0.197341E-01  0.138099E-01  0.136590E-01
     16384      1900  0.643229E-01  0.324051E-01  0.321360E-01
     32768      3512  0.173613      0.122901      0.118787    
     65536      6542  0.651432      0.487996      0.443173    
    131072     12251   2.47292       1.68235       1.66620    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
