 
11 February  2008   5:05:58.508 PM      
 
TOMS322_PRB
  FORTRAN77 version
 
  Test ACM TOMS algorithm 322.
 
TEST01

               Testing two-tailed normal distribution

    N1   N2       X      P-Exp       P-Calc      E-Diff     E-Rel
  ---- ----    ------  ----------  ----------  ----------   -----
     1 5000    4.4170  0.1000E-04  0.1022E-04  0.2193E-06   0.022
     1 5000    3.8910  0.1000E-03  0.1011E-03  0.1130E-05   0.011
     1 5000    3.2910  0.1000E-02  0.1005E-02  0.5242E-05   0.005
     1 5000    2.5760  0.1000E-01  0.1002E-01  0.2351E-04   0.002
     1 5000    2.2410  0.2500E-01  0.2507E-01  0.6980E-04   0.003
     1 5000    1.9600  0.5000E-01  0.5005E-01  0.5125E-04   0.001
     1 5000    1.6450  0.1000      0.1000      0.3267E-04   0.000
     1 5000    1.1500  0.2500      0.2502      0.1989E-03   0.001
     1 5000    0.6740  0.5000      0.5003      0.3425E-03   0.001
     1 5000    0.3190  0.7500      0.7497      0.2602E-03   0.000
     1 5000    0.1260  0.9000      0.8997      0.2630E-03   0.000
     1 5000    0.0630  0.9500      0.9498      0.2310E-03   0.000
     1 5000    0.0125  0.9900      0.9900      0.2719E-04   0.000
 
TEST02

               Testing two-tailed Student's T

    N1   N2       X      P-Exp       P-Calc      E-Diff     E-Rel
  ---- ----    ------  ----------  ----------  ----------   -----
     1    1    1.0000  0.5000      0.5000      0.2546E-10   0.000
     1    2    0.8170  0.5000      0.4998      0.2311E-03   0.000
     1   10    0.7000  0.5000      0.4999      0.1124E-03   0.000
     1   20    0.6870  0.5000      0.5000      0.2805E-04   0.000
     1  120    0.6770  0.5000      0.4997      0.2910E-03   0.001
     1    1    6.3140  0.1000      0.1000      0.3875E-05   0.000
     1    2    2.9200  0.1000      0.1000      0.8504E-06   0.000
     1   10    1.8130  0.1000      0.9991E-01  0.8788E-04   0.001
     1   20    1.7250  0.1000      0.9995E-01  0.5177E-04   0.001
     1  120    1.6580  0.1000      0.9993E-01  0.7063E-04   0.001
     1    1   12.7060  0.5000E-01  0.5000E-01  0.8003E-06   0.000
     1    2    4.3030  0.5000E-01  0.4999E-01  0.7475E-05   0.000
     1   10    2.2280  0.5000E-01  0.5001E-01  0.1178E-04   0.000
     1   20    2.0860  0.5000E-01  0.5000E-01  0.3643E-05   0.000
     1  120    1.9800  0.5000E-01  0.4999E-01  0.7927E-05   0.000
     1    1   63.6570  0.1000E-01  0.1000E-01  0.4072E-07   0.000
     1    2    9.9250  0.1000E-01  0.1000E-01  0.3114E-06   0.000
     1   10    3.1690  0.1000E-01  0.1000E-01  0.4635E-05   0.000
     1   20    2.8450  0.1000E-01  0.1001E-01  0.7548E-05   0.001
     1  120    2.6170  0.1000E-01  0.1001E-01  0.1166E-04   0.001
     1    1  127.3200  0.5000E-02  0.5000E-02  0.5256E-07   0.000
     1    2   14.0890  0.5000E-02  0.5000E-02  0.3359E-07   0.000
     1   10    3.5810  0.5000E-02  0.5003E-02  0.3377E-05   0.001
     1   20    3.1530  0.5000E-02  0.5005E-02  0.4558E-05   0.001
     1  120    2.8600  0.5000E-02  0.4998E-02  0.1991E-05   0.000
 
TEST03

               Testing chi-square distribution

    N1   N2       X      P-Exp       P-Calc      E-Diff     E-Rel
  ---- ----    ------  ----------  ----------  ----------   -----
     1 5000    0.4500  0.5000      0.5024      0.2366E-02   0.005
     2 5000    1.3900  0.5000      0.4991      0.8773E-03   0.002
    10 5000    9.3400  0.5000      0.5003      0.2849E-03   0.001
    20 5000   19.3400  0.5000      0.5000      0.9980E-06   0.000
   100 5000   99.3300  0.5000      0.5005      0.4874E-03   0.001
     1 5000    3.8400  0.5000E-01  0.5010E-01  0.9900E-04   0.002
     2 5000    5.9900  0.5000E-01  0.5013E-01  0.1264E-03   0.003
    10 5000   18.3100  0.5000E-01  0.5025E-01  0.2462E-03   0.005
    20 5000   31.4100  0.5000E-01  0.5052E-01  0.5151E-03   0.010
   100 5000  124.3400  0.5000E-01  0.5208E-01  0.2079E-02   0.042
     1 5000    5.0200  0.2500E-01  0.2510E-01  0.9991E-04   0.004
     2 5000    7.3800  0.2500E-01  0.2504E-01  0.4003E-04   0.002
    10 5000   20.4800  0.2500E-01  0.2524E-01  0.2353E-03   0.009
    20 5000   34.1700  0.2500E-01  0.2536E-01  0.3571E-03   0.014
   100 5000  129.5600  0.2500E-01  0.2644E-01  0.1437E-02   0.057
     1 5000    6.6300  0.1000E-01  0.1006E-01  0.5602E-04   0.006
     2 5000    9.2100  0.1000E-01  0.1004E-01  0.4416E-04   0.004
    10 5000   23.2100  0.1000E-01  0.1012E-01  0.1194E-03   0.012
    20 5000   37.5700  0.1000E-01  0.1020E-01  0.1954E-03   0.020
   100 5000  135.8100  0.1000E-01  0.1080E-01  0.7979E-03   0.080
     1 5000    7.8800  0.5000E-02  0.5018E-02  0.1781E-04   0.004
     2 5000   10.6000  0.5000E-02  0.5020E-02  0.1967E-04   0.004
    10 5000   25.1900  0.5000E-02  0.5074E-02  0.7400E-04   0.015
    20 5000   40.0000  0.5000E-02  0.5124E-02  0.1242E-03   0.025
   100 5000  140.1700  0.5000E-02  0.5495E-02  0.4950E-03   0.099
 
TEST04

               Testing F distribution

    N1   N2       X      P-Exp       P-Calc      E-Diff     E-Rel
  ---- ----    ------  ----------  ----------  ----------   -----
     1    116211.0000  0.5000E-02  0.5000E-02  0.4270E-07   0.000
     1    2  198.5000  0.5000E-02  0.5000E-02  0.3144E-07   0.000
     1   10   12.8260  0.5000E-02  0.5001E-02  0.5457E-06   0.000
     1   20    9.9439  0.5000E-02  0.5000E-02  0.6292E-07   0.000
     1  120    8.1790  0.5000E-02  0.5000E-02  0.4457E-06   0.000
     2    120000.0000  0.5000E-02  0.5000E-02  0.6239E-07   0.000
     2    2  199.0000  0.5000E-02  0.5000E-02  0.1118E-09   0.000
     2   10    9.4270  0.5000E-02  0.5000E-02  0.1598E-08   0.000
     2   20    6.9865  0.5000E-02  0.5000E-02  0.1033E-06   0.000
     2  120    5.5393  0.5000E-02  0.5000E-02  0.3304E-07   0.000
    10    124224.0000  0.5000E-02  0.5000E-02  0.5036E-07   0.000
    10    2  199.4000  0.5000E-02  0.5000E-02  0.9761E-08   0.000
