20060107  091952.000
 
TOMS332_PRB:
  Test the ACM TOMS 332 Algorithm Jacobi.
 
TEST01:
  JACOBI_POLY_VALUES returns exact values of 
  the Jacobi polynomial.
  JACOBI computes values of 
  the Jacobi polynomial.
 
   N       A       B      X          Exact           Computed
 
   0       0       1    0.500000     1.0000000         1.0000000    
   1       0       1    0.500000    0.25000000        0.25000000    
   2       0       1    0.500000   -0.37500000       -0.37500000    
   3       0       1    0.500000   -0.48437500       -0.48437500    
   4       0       1    0.500000   -0.13281250       -0.13281250    
   5       0       1    0.500000    0.27539062        0.27539062    
   5       1       1    0.500000   -0.16406250       -0.16406250    
   5       2       1    0.500000    -1.1748047        -1.1748047    
   5       3       1    0.500000    -2.3613281        -2.3613281    
   5       4       1    0.500000    -2.6162109        -2.6162109    
   5       5       1    0.500000    0.11718750        0.11718750    
   5       0       2    0.500000    0.42187500        0.42187500    
   5       0       3    0.500000    0.50488281        0.50488281    
   5       0       4    0.500000    0.50976562        0.50976562    
   5       0       5    0.500000    0.43066406        0.43066406    
   5       0       1   -1.000000    -6.0000000        -6.0000000    
   5       0       1   -0.800000    0.38620000E-01    0.38620000E-01
   5       0       1   -0.600000    0.81184000        0.81184000    
   5       0       1   -0.400000    0.36660000E-01    0.36660000E-01
   5       0       1   -0.200000   -0.48512000       -0.48512000    
   5       0       1    0.000000   -0.31250000       -0.31250000    
   5       0       1    0.200000    0.18912000        0.18912000    
   5       0       1    0.400000    0.40234000        0.40234000    
   5       0       1    0.600000    0.12160000E-01    0.12160000E-01
   5       0       1    0.800000   -0.43962000       -0.43962000    
   5       0       1    1.000000     1.0000000        1.00000000    
 
TOMS332_PRB:
  Normal end of execution.
 
20060107  091952.000
