20060111  062810.000
 
TOMS392_PRB
  Test TOMS algorithm 392, which approximates
  the time evolution of a system governed
  by hyperpolic PDE's.
1
 
       X               Y               U               V
 
     0.00000         0.00000         0.00000         2.00000    
    0.125000E-01     0.00000         0.00000         2.02516    
    0.250000E-01     0.00000         0.00000         2.05063    
    0.375000E-01     0.00000         0.00000         2.07642    
    0.500000E-01     0.00000         0.00000         2.10254    
    0.625000E-01     0.00000         0.00000         2.12899    
    0.750000E-01     0.00000         0.00000         2.15577    
    0.875000E-01     0.00000         0.00000         2.18288    
    0.100000         0.00000         0.00000         2.21034    
    0.112500         0.00000         0.00000         2.23814    
    0.125000         0.00000         0.00000         2.26630    
    0.137500         0.00000         0.00000         2.29480    
    0.150000         0.00000         0.00000         2.32367    
    0.162500         0.00000         0.00000         2.35290    
    0.175000         0.00000         0.00000         2.38249    
    0.187500         0.00000         0.00000         2.41246    
    0.200000         0.00000         0.00000         2.44281    
    0.212500         0.00000         0.00000         2.47353    
    0.225000         0.00000         0.00000         2.50465    
    0.237500         0.00000         0.00000         2.53615    
    0.250000         0.00000         0.00000         2.56805    
    0.262500         0.00000         0.00000         2.60035    
    0.275000         0.00000         0.00000         2.63306    
    0.287500         0.00000         0.00000         2.66618    
    0.300000         0.00000         0.00000         2.69972    
    0.312500         0.00000         0.00000         2.73368    
    0.325000         0.00000         0.00000         2.76806    
    0.337500         0.00000         0.00000         2.80288    
    0.350000         0.00000         0.00000         2.83814    
    0.362500         0.00000         0.00000         2.87383    
    0.375000         0.00000         0.00000         2.90998    
    0.387500         0.00000         0.00000         2.94659    
    0.400000         0.00000         0.00000         2.98365    
    0.412500         0.00000         0.00000         3.02118    
    0.425000         0.00000         0.00000         3.05918    
    0.437500         0.00000         0.00000         3.09766    
    0.450000         0.00000         0.00000         3.13662    
    0.462500         0.00000         0.00000         3.17608    
    0.475000         0.00000         0.00000         3.21603    
    0.487500         0.00000         0.00000         3.25648    
    0.500000         0.00000         0.00000         3.29744    
    0.512500         0.00000         0.00000         3.33892    
    0.525000         0.00000         0.00000         3.38092    
    0.537500         0.00000         0.00000         3.42344    
    0.550000         0.00000         0.00000         3.46651    
    0.562500         0.00000         0.00000         3.51011    
    0.575000         0.00000         0.00000         3.55426    
    0.587500         0.00000         0.00000         3.59897    
    0.600000         0.00000         0.00000         3.64424    
    0.612500         0.00000         0.00000         3.69008    
    0.625000         0.00000         0.00000         3.73649    
    0.637500         0.00000         0.00000         3.78349    
    0.650000         0.00000         0.00000         3.83108    
    0.662500         0.00000         0.00000         3.87927    
    0.675000         0.00000         0.00000         3.92807    
    0.687500         0.00000         0.00000         3.97747    
    0.700000         0.00000         0.00000         4.02751    
    0.712500         0.00000         0.00000         4.07817    
    0.725000         0.00000         0.00000         4.12946    
    0.737500         0.00000         0.00000         4.18140    
    0.750000         0.00000         0.00000         4.23400    
    0.762500         0.00000         0.00000         4.28726    
