 
TOMS443_PRB
  Test TOMS algorithm 443, to evaluate
  Lambert's W function.
 
TEST01
  Test WEW_A to evaluate
  Lambert's W function.
 
      X         Exact Value      Computed
 
        0.0000    0.0000     0.0000000    
        0.5000    0.3517    0.35173371    
        1.0000    0.5671    0.56714326    
        1.5000    0.7259    0.72586131    
        2.0000    0.8526    0.85260552    
        2.5000    0.9586    0.95858634    
        2.7183    1.0000     1.0000000    
        3.0000    1.0499     1.0499089    
        3.5000    1.1303     1.1302893    
        4.0000    1.2022     1.2021679    
        4.5000    1.2672     1.2672379    
        5.0000    1.3267     1.3267246    
        5.5000    1.3815     1.3815453    
        6.0000    1.4324     1.4324048    
        6.5000    1.4799     1.4798568    
        7.0000    1.5243     1.5243452    
        7.5000    1.5662     1.5662310    
        8.0000    1.6058     1.6058120    
       10.0000    1.7455     1.7455280    
      100.0000    3.3856     3.3856301    
     1000.0000    5.2496     5.2496028    
  1000000.0000   11.3834     11.383359    
 
TEST02
  Test WEW_B to evaluate
  Lambert's W function.
 
      X         Exact Value      Computed
 
        0.0000    0.0000     0.0000000    
        0.5000    0.3517    0.35173371    
        1.0000    0.5671    0.56714326    
        1.5000    0.7259    0.72586137    
        2.0000    0.8526    0.85260552    
        2.5000    0.9586    0.95858634    
        2.7183    1.0000     1.0000000    
        3.0000    1.0499     1.0499089    
        3.5000    1.1303     1.1302893    
        4.0000    1.2022     1.2021680    
        4.5000    1.2672     1.2672378    
        5.0000    1.3267     1.3267246    
        5.5000    1.3815     1.3815454    
        6.0000    1.4324     1.4324049    
        6.5000    1.4799     1.4798568    
        7.0000    1.5243     1.5243453    
        7.5000    1.5662     1.5662310    
        8.0000    1.6058     1.6058120    
       10.0000    1.7455     1.7455281    
      100.0000    3.3856     3.3856311    
     1000.0000    5.2496     5.2496014    
  1000000.0000   11.3834     11.383318    
 
TOMS435_PRB
  Normal end of execution.
