 eps=-------   1.0E-03 ------ -------   1.0E-06 ------ -------   1.0E-08 ------ 
 KASE NPTS     RESULT    CHK   NPTS     RESULT    CHK   NPTS     RESULT    CHK  
    1  15  6.66673720E-01 0     63  6.66666687E-01 0    127  6.66666687E-01 0
    2   7  4.79428262E-01 0     15  4.79428232E-01 0     63  4.79428262E-01 0
    3  15  1.58223307E+00 0     31  1.58223295E+00 0     63  1.58223295E+00 0
    4   7  3.99998963E-01 0     31  4.00000006E-01 0     31  4.00000006E-01 0
    5   7  8.66972744E-01 0     15  8.66972983E-01 0     31  8.66972983E-01 0
    6 127  1.15470052E+00 0    255  1.15470052E+00 0    255  1.15470052E+00 0
    7   7  7.77504742E-01 0      7  7.77504742E-01 0    255  7.77504563E-01 1
    8 255  9.09845345E-03 0    255  9.09845345E-03 1    255  9.09845345E-03 1
    9 127  4.99363363E-01 0    255  4.99363363E-01 0    255  4.99363363E-01 0
   10  63  8.38676155E-01 0     63  8.38676155E-01 0    255  8.38676214E-01 1
   11  31 -9.99843597E-01 0    255 -9.99999583E-01 1    255 -9.99999583E-01 1
   12  63 -6.34663165E-01 0    255 -6.34667575E-01 1    255 -6.34667575E-01 1
   13 255  1.35494601E-02 1    255  1.35494601E-02 1    255  1.35494601E-02 1
