 
TOMS708_PRB1
  FORTRAN77 version
 
    X     Y           W              W1
 
  0.01  0.99    0.647547E-07    0.100000E+01
  0.02  0.98    0.236130E-05    0.999998E+00
  0.03  0.97    0.187340E-04    0.999981E+00
  0.04  0.96    0.795752E-04    0.999920E+00
  0.05  0.95    0.239966E-03    0.999760E+00
  0.06  0.94    0.582550E-03    0.999417E+00
  0.07  0.93    0.121744E-02    0.998783E+00
  0.08  0.92    0.227970E-02    0.997720E+00
  0.09  0.91    0.392493E-02    0.996075E+00
  0.10  0.90    0.632364E-02    0.993676E+00
  0.11  0.89    0.965480E-02    0.990345E+00
  0.12  0.88    0.140992E-01    0.985901E+00
  0.13  0.87    0.198326E-01    0.980167E+00
  0.14  0.86    0.270199E-01    0.972980E+00
  0.15  0.85    0.358090E-01    0.964191E+00
  0.16  0.84    0.463262E-01    0.953674E+00
  0.17  0.83    0.586726E-01    0.941327E+00
  0.18  0.82    0.729207E-01    0.927079E+00
  0.19  0.81    0.891123E-01    0.910888E+00
  0.20  0.80    0.107258E+00    0.892742E+00
  0.21  0.79    0.127337E+00    0.872663E+00
  0.22  0.78    0.149298E+00    0.850703E+00
  0.23  0.77    0.173058E+00    0.826942E+00
  0.24  0.76    0.198510E+00    0.801490E+00
  0.25  0.75    0.225521E+00    0.774479E+00
  0.26  0.74    0.253935E+00    0.746065E+00
  0.27  0.73    0.283581E+00    0.716419E+00
  0.28  0.72    0.314271E+00    0.685729E+00
  0.29  0.71    0.345807E+00    0.654193E+00
  0.30  0.70    0.377984E+00    0.622016E+00
  0.31  0.69    0.410593E+00    0.589407E+00
  0.32  0.68    0.443426E+00    0.556574E+00
  0.33  0.67    0.476278E+00    0.523722E+00
  0.34  0.66    0.508950E+00    0.491050E+00
  0.35  0.65    0.541251E+00    0.458749E+00
  0.36  0.64    0.573004E+00    0.426996E+00
  0.37  0.63    0.604044E+00    0.395956E+00
  0.38  0.62    0.634221E+00    0.365779E+00
  0.39  0.61    0.663400E+00    0.336600E+00
  0.40  0.60    0.691466E+00    0.308534E+00
  0.41  0.59    0.718321E+00    0.281679E+00
  0.42  0.58    0.743882E+00    0.256118E+00
  0.43  0.57    0.768088E+00    0.231912E+00
  0.44  0.56    0.790893E+00    0.209107E+00
  0.45  0.55    0.812268E+00    0.187732E+00
  0.46  0.54    0.832201E+00    0.167799E+00
  0.47  0.53    0.850693E+00    0.149307E+00
  0.48  0.52    0.867761E+00    0.132239E+00
  0.49  0.51    0.883431E+00    0.116569E+00
  0.50  0.50    0.897744E+00    0.102256E+00
 
TOMS708_PRB1
  Normal end of execution.
